"[44, 22, 180, 0, 0, 464], 0.32808764367816096"
"[432, 29, 90, 17, 8, 902], 0.7015513673318553"
"[228, 45, 36, 4, 2, 589], 0.5771352574985853"
"[140, 22, 135, 6, 5, 536], 0.7393566542288558"
"[320, 72, 54, 5, 7, 795], 0.6817295597484277"
"[40, 10, 81, 6, 1, 301], 0.4862082926193735"
"[208, 12, 54, 35, 6, 348], 0.4514161595672751"
"[128, 12, 72, 4, 2, 304], 0.5573617131062951"
"[516, 24, 126, 36, 3, 820], 0.48436991869918694"
"[304, 29, 99, 5, 8, 746], 0.7278521000893657"
"[216, 16, 27, 12, 9, 355], 0.5910950013808342"
"[188, 44, 27, 6, 3, 548], 0.5813424574209247"
"[208, 46, 126, 15, 3, 721], 0.617444752658345"
"[588, 46, 90, 19, 10, 1109], 0.6328402464682897"
"[76, 18, 54, 1, 1, 265], 0.47647798742138375"
"[448, 36, 72, 3, 8, 883], 0.6992093242733107"
"[156, 31, 81, 2, 3, 553], 0.5381431585292344"
"[300, 30, 27, 3, 5, 522], 0.5505057471264369"
"[332, 60, 153, 13, 10, 1143], 0.6549286964129484"
"[32, 2, 27, 1, 0, 91], 0.36112658909717743"
"[240, 44, 81, 12, 5, 832], 0.6420725160256411"
"[140, 19, 81, 5, 2, 414], 0.5864516908212561"
"[312, 45, 63, 6, 5, 809], 0.6622000412031315"
"[272, 42, 108, 7, 4, 713], 0.6913789153810193"
"[160, 16, 36, 8, 5, 375], 0.6508039215686275"
"[52, 9, 54, 0.8, 1, 183], 0.4320461266473803"
"[244, 31, 99, 0.08, 8, 691], 0.6339488663772311"
"[120, 32, 144, 0.008, 1, 531], 0.5706621468926556"
"[184, 32, 81, 17, 3, 528], 0.5822708333333335"
"[176, 32, 162, 10, 5, 657], 0.7109079147640791"
"[76, 9, 72, 6, 1, 318], 0.44416722160562344"
"[156, 25, 162, 14, 2, 632], 0.7048190928270044"
"[268, 37, 126, 9, 4, 678], 0.7303303834808262"
"[156, 7, 18, 8, 4, 322], 0.5440713067835831"
"[672, 44, 225, 23, 11, 1725], 0.5561956521739131"
"[548, 43, 171, 22, 22, 1285], 0.6114656290531778"
"[321, 33, 126, 29, 7, 436], 0.4933662079510704"
"[96, 5, 142, 0, 0, 828], 0.30550756606990626"
"[370, 22, 40, 21, 4, 624], 0.5053621794871795"
"[20, 45, 117, 28, 10, 1029], 0.4540162779397474"
"[545, 24, 15, 26, 6, 745], 0.39610458612975397"
"[431, 52, 92, 3, 5, 98], 0.30383333333333334"
"[449, 14, 70, 29, 2, 788], 0.502472466905544"
"[181, 17, 89, 7, 6, 694], 0.6561835975024016"
"[62, 9, 67, 32, 1, 107], 0.2802989737951256"
"[158, 33, 16, 30, 5, 910], 0.44338827838827843"
"[392, 56, 48, 26, 10, 99], 0.329"
"[62, 57, 169, 10, 0, 63], 0.32300000000000006"
"[449, 5, 62, 20, 1, 947], 0.42756715738037565"
"[362, 45, 151, 34, 7, 1018], 0.6026626555337263"
"[490, 63, 44, 22, 7, 1047], 0.6042010506208214"
"[70, 64, 63, 2, 0, 430], 0.4342393410852714"
"[88, 12, 177, 31, 0, 680], 0.4937561274509804"
"[509, 31, 138, 25, 2, 855], 0.5265058479532164"
"[347, 18, 58, 14, 5, 859], 0.6654625533566163"
"[87, 10, 103, 29, 7, 143], 0.33613794049088164"
"[436, 62, 10, 31, 7, 195], 0.33153846153846156"
"[268, 72, 21, 23, 8, 806], 0.5816328577336642"
"[428, 50, 161, 2, 5, 647], 0.5475841061308604"
"[246, 35, 57, 12, 9, 949], 0.6495980857042501"
"[547, 17, 126, 4, 0, 536], 0.43702456467661693"
"[532, 13, 82, 8, 1, 2], 0.25621568627450986"
"[275, 3, 89, 13, 10, 892], 0.5478394497933703"
"[323, 62, 44, 5, 2, 622], 0.6377100750267953"
"[219, 18, 129, 22, 2, 341], 0.37002981427174975"
"[397, 1, 36, 36, 7, 460], 0.2118808610400682"
"[514, 53, 45, 31, 2, 968], 0.534218061294766"
"[447, 8, 2, 36, 5, 183], 0.1863582449373192"
"[483, 8, 165, 3, 8, 434], 0.3240766919671095"
"[158, 41, 152, 2, 1, 593], 0.6456292861157955"
"[396, 14, 6, 25, 8, 241], 0.3062485558538769"
"[297, 7, 179, 27, 2, 270], 0.1472058823529412"
"[471, 34, 75, 28, 10, 599], 0.4710249026154702"
"[308, 69, 72, 23, 2, 601], 0.6032240709927899"
"[487, 56, 32, 12, 1, 357], 0.4015168067226891"
"[338, 27, 37, 2, 3, 1095], 0.4876769406392694"
"[415, 7, 6, 24, 2, 636], 0.2719833980762115"
"[545, 21, 170, 0, 9, 78], 0.31300000000000006"
"[541, 15, 116, 22, 5, 809], 0.4494119222472672"
"[543, 17, 158, 33, 1, 764], 0.4196071116928447"
"[394, 31, 69, 16, 1, 420], 0.3970089285714286"
"[78, 39, 84, 24, 4, 499], 0.47773079492317977"
"[380, 16, 1, 25, 7, 368], 0.3265776987425405"
"[171, 62, 129, 0, 1, 391], 0.5758124467178176"
"[341, 25, 176, 11, 10, 1032], 0.74815503875969"
"[33, 8, 68, 29, 0, 205], 0.292523912003826"
"[282, 20, 166, 32, 6, 461], 0.5020773680404916"
"[185, 67, 24, 26, 6, 1011], 0.4466211671612265"
"[354, 4, 46, 16, 5, 594], 0.42196865715983367"
